"s","o"
"http://en.wiktionary.org/wiki/adhering","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/adhering","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/governs","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/governs","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/governing","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/governing","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/oppress","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/oppress","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/respected","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/respected","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respect","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obey","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/authority","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obeyed","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/deference","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/reverence","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respecting","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obeying","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/tradition","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/adhere","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obeys","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/revere","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/govern","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/comply","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respectful","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/honor","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/adhered","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/allegiance","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/dictates","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/nobility","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/forbid","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/dominion","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/governed","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obedient","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/reveres","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/adhering","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/governs","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/governing","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/oppress","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respected","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/respectfully","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/honorable","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/dictate","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/dictate","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/Commandments","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/commandments","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/Commandments","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/commandments","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/Commandment","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/commandment","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/commandment","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://umbel.org/umbel/sc/Commandment","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/venerate","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/venerate","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/politeness","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/politeness","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/respects","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/respects","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/obedience","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/obedience","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/divine_right","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/forbids","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/forbids","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/permission","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/permission","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://umbel.org/umbel/ac/Permission","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/veneration","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/veneration","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Hierarchy","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/hierarchy","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/hierarchy","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q188619","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/forbade","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/forbade","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/honoring","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/honoring","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/proper","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/proper","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/venerated","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/venerated","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/stature","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/stature","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/acquiesce","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/acquiesce","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/adherence","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/adherence","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/deferential","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Leadership","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/leadership","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/leadership","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q484275","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/punish","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/punish","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/forbidding","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/forbidding","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/revered","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/revered","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/filial_piety","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/patriarchs","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/patriarchs","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/decree","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/decree","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://umbel.org/umbel/sc/Decree","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/coerce","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/coerce","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respectfully","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/honorable","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/dictate","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/commandments","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/commandment","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/venerate","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/politeness","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/respects","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/obedience","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/divine_right","https://w3id.org/spice/SON/HaidtValues#Authority"
