"s","o"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/successless","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/unsuccess","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/successes/n","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/in_charge_of_project","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/taking_midterm","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/taping_television_show","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/do_crossword_puzzle","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/reach_advantage","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/take_chance","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/celebrating","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/conquering_opponent","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/getting_good_grade","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/scoring_home_run","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://premon.fbk.eu/resource/fn17-accomplishment","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_run_100189565","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_accomplishment_100035189","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_justification_101241767","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_achiever_109762821","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_base_on_balls_100127286","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_face_saver_101263582","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_haymaking_100623052","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_liberation_100095502","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_masterpiece_100037006","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_performance_100047106","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_run_batted_in_100190180","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_going_100048051","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_record_100047745","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_earned_run_100189896","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_unearned_run_100190040","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_beachhead_100036299","https://w3id.org/spice/SON/SchwartzValues#Achievement"
